Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
DGS,Department of General Services,DGS 36 Central Duplicating,M,60413.44,0,0,11
FRS,Fire and Rescue Services,FRS 45 Station 28,M,96826,31481.28,0,F3
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,82217.0259,0,0,23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130750.72,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 23,M,90386,0,0,F3
DOT,Department of Transportation,DOT 50 Transit Management Services,F,90000,0,0,N23
POL,Department of Police,POL 47 PSB 5th District Patrol,F,47093,3329.3,0,P4P
FRS,Fire and Rescue Services,FRS 45 Station 35,M,96826,25754.25,2543.04,F3
LIB,Department of Public Libraries,LIB 71 Damascus Library,F,22324.86,0,0,8
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,F,69442,16721.83,0,13
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,82017,21001.72,0,T1
DPS,Department of Permitting Services,DPS 75 Land Development Right-of-Way Plan Review,M,122842,0,1996.28,26
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68944.3944,4539.49,0,15
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 1 Security,F,76668,47316.28,0,C5
POL,Department of Police,POL 47 MSB Communications Division,M,122842,0,9640.04,26
POL,Department of Police,POL 47 MSB Communications Division,M,107271.137,9161.8,0,N23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,48976.88,0,0,16
FRS,Fire and Rescue Services,FRS 45 Station 18,M,96826,1297.57,10351.18,F3
FRS,Fire and Rescue Services,FRS 45 Training,M,117165,39987.08,12525.38,B1
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,89322.4701,4051.95,0,20
POL,Department of Police,POL 47 PSB 6th District Patrol,F,94186,6267.76,0,P4
OAG,Office of Agriculture,OAG 78 Soil Conservation,M,152237.01,0,0,M3
LIB,Department of Public Libraries,LIB 71 Little Falls Library,F,49114,0,3908.07,21
REC,Department of Recreation,REC 72 Countywide Programs,M,98228,0,4658.57,21
POL,Department of Police,POL 47 PSB 1st District Patrol,M,108084,5322.38,11524.76,P4
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,108084,6119.22,11524.76,P4
FRS,Fire and Rescue Services,FRS 45 Station 25,M,63156,1441.96,0,F2
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,5.68,0,12
DOT,Department of Transportation,DOT 50 Highway Services,M,78947,9195.4,6232.08,16
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,23022.5745,0,0,10
FRS,Fire and Rescue Services,FRS 45 Station 21,M,78765,12345.45,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 24,M,117165,7406.54,8205.92,B1
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,119730.26,0,0,M3
